XYDATA
! 11BM APS Si SRM 640d
! File no. =              6098 
! No. steps =             34500 
! Scan time =             AUG 15, 2014 21:05
! Sample name =     	  NIST SRM 640d (Si)
! Composition =           Silicon (Si)
! Sample Comment =        0.8 mm dia Kapton
! Temp (K) =              295.6 
! 2theta step (deg) =     0.001 
! Time per step (sec) =   0.1 
! 100/Ring Current[0] =   1.004  
! Monitor I0 [0] =        86940.6  
! Monitor I1 [0] =        71229.8  
! Gonio._radius [mm] =    1000.0 
! Calibration file =      11bmb_6097_2thcorr.calib 
! 2Theta correction subtracted 
! Normalization factor  = 7.8467 
! Calibrated wavelength = 0.413848 
! Fullprof format INSTRM=10 (x, y, sigma)
INTER 1.0 1.0  2 0.00100
! ---------------------------------------
! degrees       intensity        sigma
0.78696       308.2169        25.5425
0.78796       291.8783        24.8628
0.78896       278.3795        24.3114
0.78996       321.1137        26.1259
0.79096       330.4001        26.5435
0.79196       313.2921        25.8058
0.79296       306.6754        25.4304
0.79396       292.2904        24.8856
0.79496       308.9588        25.6317
0.79596       293.6407        24.9474
0.79696       322.4767        26.1559
0.79796       333.0404        26.5454
0.79896       276.8543        24.2596
0.79996       306.6875        25.4863
0.80096       274.8594        24.2096
0.80196       299.8625        25.2555
0.80296       303.0790        25.3560
0.80396       255.7111        23.2662
0.80496       285.3105        24.6225
0.80596       301.9783        25.3562
0.80696       313.1224        25.7143
0.80796       324.2320        26.1958
0.80896       268.1666        23.8910
0.80996       320.0031        25.9658
0.81096       341.1560        26.9409
0.81196       303.0252        25.4349
0.81296       285.0877        24.6189
0.81396       297.9360        25.1564
0.81496       308.8831        25.6072
0.81596       307.0553        25.5217
0.81696       317.0357        25.8667
0.81796       295.9047        25.0125
0.81896       265.1699        23.7292
0.81996       278.9253        24.3004
0.82096       306.0222        25.4699
0.82196       314.5710        25.8299
0.82296       242.3604        22.6523
0.82396       293.9239        24.8859
0.82496       295.3036        25.0517
0.82596       286.1047        24.5666
0.82696       307.6169        25.4664
0.82796       289.6698        24.7722
0.82896       280.7323        24.3647
0.82996       272.5276        24.0139
0.83096       249.1485        23.1121
0.83196       292.3978        24.8720
0.83296       275.9445        24.2381
0.83396       309.3351        25.5757
0.83496       297.1008        24.9399
0.83596       250.4607        23.0502
0.83696       301.8389        25.3814
0.83796       278.1286        24.2186
0.83896       314.0000        25.8743
0.83996       325.6154        26.2166
0.84096       250.3996        23.0443
0.84196       297.4605        25.1004
0.84296       286.0882        24.6280
0.84396       292.6961        24.9466
0.84496       265.7543        23.7864
0.84596       276.4187        24.1341
0.84696       300.7088        25.2365
0.84796       261.0810        23.5735
0.84896       260.1608        23.5000
0.84995       266.1703        23.6947
0.85095       285.1276        24.5774
0.85195       310.9446        25.6749
0.85295       307.2891        25.5638
0.85395       265.5222        23.6747
0.85495       274.2957        24.0082
0.85595       341.3742        26.9104
0.85695       296.2444        25.0422
0.85795       309.4047        25.5353
0.85895       321.1401        26.0279
0.85995       302.5895        25.3080
0.86095       282.1683        24.4509
0.86195       341.9871        26.9552
0.86295       310.6370        25.7434
0.86395       317.6914        25.9313
0.86495       279.3152        24.2884
0.86595       313.7989        25.8053
0.86695       309.0586        25.6288
0.86795       309.3853        25.6297
0.86895       267.5571        23.8438
0.86995       276.6034        24.2196
0.87095       325.7084        26.3390
0.87195       277.0923        24.1991
0.87295       255.6890        23.3022
0.87395       277.4840        24.2673
0.87495       283.3477        24.5963
0.87595       292.8293        24.9684
0.87695       336.0363        26.7418
0.87795       347.4542        27.1734
0.87895       334.2181        26.6557
0.87995       317.6384        25.9664
0.88095       276.2254        24.1661
0.88195       260.7075        23.4873
0.88295       310.3935        25.7075
0.88395       249.2369        23.0152
0.88495       286.3245        24.6289
0.88595       314.1322        25.8856
0.88695       260.0795        23.5244
0.88795       308.0723        25.6550
0.88895       256.8757        23.2336
0.88995       316.0746        25.8622
0.89095       257.6077        23.3508
0.89195       299.0232        25.1778
0.89295       289.7133        24.6816
0.89395       284.2504        24.5638
0.89495       269.0580        23.8932
0.89595       286.9191        24.6469
0.89695       267.8636        23.8204
0.89795       294.0789        24.9342
0.89895       250.2074        23.0451
0.89995       278.2692        24.2522
0.90095       288.0799        24.7383
0.90195       273.8978        24.1600
0.90295       281.0836        24.4607
0.90395       299.2992        25.1804
0.90495       290.6748        24.8005
0.90595       341.1165        26.8992
0.90695       291.1388        24.8783
0.90795       259.8877        23.5006
0.90895       268.4337        23.8764
0.90995       296.1233        25.0753
0.91095       285.5418        24.6304
0.91195       284.5814        24.6019
0.91295       305.3097        25.3463
0.91395       290.2358        24.7766
0.91495       274.9329        24.1155
0.91595       310.7613        25.6841
0.91695       283.7369        24.5651
0.91795       261.6628        23.5519
0.91895       291.2958        24.8380
0.91995       281.8820        24.5518
0.92095       254.4299        23.2809
0.92195       254.0004        23.2482
0.92295       267.5928        23.7229
0.92395       317.1600        25.9601
0.92495       284.1921        24.4586
0.92595       285.1542        24.6075
0.92694       294.3367        24.9912
0.92794       282.6749        24.4214
0.92894       268.3609        23.8137
0.92994       296.0783        25.0448
0.93094       291.6938        24.8816
0.93194       282.7399        24.5056
0.93294       284.9091        24.5284
0.93394       297.2526        25.0693
0.93494       285.5914        24.4954
0.93594       296.8599        25.0717
0.93694       275.2138        24.1715
0.93794       259.6133        23.4855
0.93894       288.9717        24.6772
0.93994       260.5656        23.4699
0.94094       266.0014        23.6838
0.94194       291.0176        24.8738
0.94294       267.6827        23.8048
0.94394       310.1498        25.6338
0.94494       279.2858        24.2686
0.94594       255.7004        23.1845
0.94694       297.6277        25.1224
0.94794       307.9036        25.4933
0.94894       247.6872        22.9398
0.94994       249.4921        23.0160
0.95094       242.2718        22.5676
0.95194       278.1003        24.3168
0.95294       261.5205        23.6248
0.95394       298.2315        25.1908
0.95494       267.5535        23.8070
0.95594       290.1823        24.6850
0.95694       295.9769        25.0016
0.95794       270.2016        23.8826
0.95894       267.0695        23.7765
0.95994       265.1713        23.7285
