XYDATA
! Title:  11BM APS ZnO
INTER 1.0 1.0 2 0.0010
TEMP 295.0
! Fullprof format INSTRM=10 (x, y, sigma)
! Run no. =               4715 
! No. steps =             34500 
! Scan time =             MAY 31, 2014 23:52
! Sample name =     	  NIST SRM 674b (ZnO)
! Composition =           Zinc Oxide
! Sample Comment =        0.8 mm dia Kapton
! Temp (K) =              295.0 
! 2theta step (deg) =     0.001 
! Time per step (sec) =   0.1 
! 100/Ring Current[0] =   1.025  
! Monitor I0 [0] =        89933.5  
! Monitor I1 [0] =        73484.6  
! Gonio._radius [mm] =    1000.0 
! Calibration file =      11bmb_4699_2thcorr.calib
! 2Theta correction subtracted 
! Normalization factor  = 8.1812 
! Calibrated wavelength = 0.413671 
!  
! 2theta, intensity, sigma(intensity)
2.294954 118.592271 14.557354
2.295954 112.198728 14.150841
2.296954 117.149378 14.477860
2.297954 112.249712 14.258189
2.298954 122.797279 14.824018
2.299953 113.403631 14.180983
2.300953 99.454068 13.316485
2.301953 92.063310 12.839127
2.302953 116.706229 14.457419
2.303953 98.262690 13.228061
2.304953 84.149768 12.266296
2.305953 115.088385 14.322490
2.306952 107.003151 13.972237
2.307952 103.251541 13.460092
2.308952 117.785505 14.442496
2.309952 95.504117 13.134848
2.310952 93.295985 12.864730
2.311952 78.011541 11.808621
2.312951 87.535930 12.487394
2.313951 114.753567 14.230929
2.314951 114.751164 14.367067
2.315951 89.434795 12.707201
2.316951 100.101535 13.376650
2.317951 115.676595 14.380682
2.318951 107.535569 13.901432
2.319950 94.368966 13.053291
2.320950 107.027065 13.897943
2.321950 96.426896 13.184595
2.322950 112.857729 14.168239
2.323950 130.441530 15.340019
2.324950 101.611175 13.558715
2.325949 90.384194 12.760413
2.326949 87.330174 12.557336
2.327949 110.357986 14.050410
2.328949 90.664516 12.737629
2.329949 85.159658 12.360880
2.330949 89.275361 12.648874
2.331949 102.160216 13.590316
2.332948 102.628288 13.550819
2.333948 102.059473 13.550623
2.334948 112.917371 14.220325
2.335948 131.165941 15.418441
2.336948 99.500039 13.413308
2.337948 103.712929 13.613387
2.338947 118.432031 14.649643
2.339947 110.008112 14.022611
2.340947 129.014272 15.157624
2.341947 110.817361 14.077672
2.342947 88.706334 12.657635
2.343947 111.913619 14.148882
2.344946 113.143643 14.249537
2.345946 118.986547 14.702468
2.346946 117.925703 14.603605
2.347946 115.711242 14.391879
2.348946 103.016926 13.631735
2.349946 99.254230 13.306453
2.350946 102.653947 13.628972
2.351945 122.533372 14.836972
2.352945 91.474254 12.848605
2.353945 109.079918 13.994576
2.354945 91.823350 12.774385
2.355945 77.838607 11.795801
2.356945 96.048347 13.139646
2.357944 114.896694 14.355715
