XYDATA
! Title:  11BM APS CeO2  
INTER 1.0 1.0 2 0.0010
TEMP 295.0
! Fullprof format INSTRM=10 (x, y, sigma)
! File no. =               4717
! No. steps =             34500
! Scan time =             JUN 01, 2014 01:51
! Sample name =           NIST SRM 674b (CeO2)
! Composition =           Cerium(IV) oxide 
! Sample Comment =        0.8 mm dia Kapton
! Temp (K) =              295.0
! 2theta step (deg) =     0.001
! Time per step (sec) =   0.1
! 100/Ring Current[0] =   0.982 
! Monitor I0 [0] =        92926.4 
! Monitor I1 [0] =        75877.3 
! Gonio._radius [mm] =    1000.0
! Calibration file =      11bmb_4699_2thcorr.calib
! 2Theta correction subtracted
! Calibrated wavelength = 0.413671
! Normalization factor  = 8.3538
!  
! 2theta, intensity, sigma(intensity)
2.294954 96.153201 12.980148
2.295954 93.859459 12.851895
2.296954 97.064548 13.040274
2.297954 109.842660 13.883354
2.298954 96.727097 13.049828
2.299953 100.233896 13.274658
2.300953 130.204501 15.076288
2.301953 122.369324 14.611436
2.302953 87.737419 12.320713
2.303953 107.700851 13.681753
2.304953 123.045537 14.720973
2.305953 96.964082 13.134895
2.306952 86.370508 12.400218
2.307952 89.934723 12.588429
2.308952 101.473140 13.358204
2.309952 120.981783 14.578026
2.310952 83.973455 12.172885
2.311952 74.523817 11.500147
2.312951 85.834305 12.148151
2.313951 95.120557 12.778749
2.314951 104.534513 13.595621
2.315951 106.125613 13.635578
2.316951 126.468994 14.919092
2.317951 88.731025 12.451456
2.318951 97.948733 13.060139
2.319950 84.877918 12.313543
2.320950 100.949701 13.305029
2.321950 109.874664 13.950255
2.322950 101.497209 13.377857
2.323950 75.956429 11.590473
2.324950 99.154921 13.113591
2.325949 131.684710 15.238644
2.326949 98.052813 13.204589
2.327949 100.562225 13.341521
2.328949 104.235001 13.606606
2.329949 95.450223 12.934428
2.330949 73.014534 11.318090
2.331949 81.405149 12.004547
2.332948 83.629745 12.188928
2.333948 92.776233 12.739243
2.334948 94.841291 12.839391
2.335948 106.935772 13.699933
2.336948 108.222169 13.861747
2.337948 97.146058 13.191837
2.338947 80.406031 11.911485
2.339947 108.942673 13.721249
2.340947 111.569329 13.973252
2.341947 75.424226 11.534506
2.342947 86.388942 12.293954
2.343947 95.918713 13.126645
2.344946 86.002020 12.314455
2.345946 83.734001 12.213515
2.346946 113.776334 14.191528
2.347946 106.813792 13.727040
2.348946 109.779001 13.910481
2.349946 103.092283 13.399262
2.350946 112.856070 14.115307
2.351945 124.098498 14.756073
2.352945 94.316241 12.818458
2.353945 110.742363 13.884013
2.354945 114.072596 14.190300
2.355945 96.233264 13.057674
2.356945 76.197047 11.644164
2.357944 78.260704 11.775716
2.358944 102.645469 13.474411
2.359944 99.820957 13.323292
2.360944 113.366303 14.184955
2.361944 87.947239 12.550264
2.362944 83.104695 12.254151
2.363944 102.659234 13.550263
2.364943 95.494967 13.065726
2.365943 79.600095 11.825904
2.366943 96.532437 13.041891
2.367943 118.610879 14.455782
2.368943 114.953240 14.326917
2.369943 121.311707 14.626176
2.370942 114.849561 14.103699
2.371942 106.321738 13.609779
2.372942 100.259488 13.323226
2.373942 100.436153 13.318213
2.374942 86.017862 12.312058
2.375942 98.990160 13.150320
2.376942 99.682608 13.202489
2.377941 90.751097 12.713403
2.378941 87.120274 12.450325
2.379941 87.176458 12.470014
2.380941 84.087475 12.179911
2.381941 112.350731 14.082590
2.382941 102.893477 13.526810
2.383940 107.640656 13.799080
2.384940 79.815785 11.865022
2.385940 103.829829 13.530083
2.386940 92.997972 12.848307
2.387940 98.234745 13.141858
2.388940 122.324236 14.788780
2.389940 94.691009 13.004086
2.390939 106.938350 13.782139
2.391939 106.940339 13.750060
2.392939 93.899876 12.865387
2.393939 92.788437 12.791818
2.394939 93.985791 12.831871
2.395939 118.018674 14.481951
2.396938 95.557682 13.018965
2.397938 94.778815 12.910574
2.398938 108.154661 13.782392
2.399938 89.240982 12.592028
2.400938 81.395074 11.929516
2.401938 133.805144 15.379025
2.402937 89.972702 12.522987
2.403937 102.428757 13.363652
2.404937 103.812746 13.323708
2.405937 117.175866 14.246528
2.406937 98.033601 13.056935
2.407937 103.547639 13.428640
2.408937 91.326150 12.717993
2.409936 85.902145 12.300823
2.410936 83.617597 11.992861
2.411936 91.971884 12.685386
2.412936 83.763983 12.144064
2.413936 79.757058 11.757604
2.414936 109.711141 13.905700
2.415935 90.558953 12.619614
2.416935 97.515482 13.096214
2.417935 74.200433 11.447558
2.418935 108.306760 13.787307
2.419935 88.236163 12.528997
2.420935 91.602907 12.529887
2.421935 83.788184 11.968819
2.422934 98.670819 13.234208
2.423934 112.287208 14.102182
2.424934 102.512139 13.512021
2.425934 100.992942 13.379631
2.426934 82.483555 12.040690
2.427934 91.430220 12.582740
2.428933 81.178283 12.017538
2.429933 99.639050 13.243824
2.430933 87.804144 12.471631
2.431933 106.382374 13.770203
2.432933 96.640132 13.062226
2.433933 94.361255 12.830578
2.434933 100.003020 13.312140
2.435932 110.013199 13.986658
2.436932 83.675774 12.140771
2.437932 90.734158 12.576918
