XYDATA
! Title:  From feb10/11bmb_4918.mda processed @ 10-02-26 15:06 
INTER 1.0 1.0 2 0.0010
TEMP 295.0
! Run no. =               4918 
! No. steps =             34000 
! Scan time =             FEB 25, 2010 17:14:00.580709 
! Sample name =           Silicon (Si), NIST SRM 640c
! Chemical formula =      Si
! Start 2theta =          -6.0 
! End 2theta =            28.0 
! 2theta step=            0.001 
! Time per step =         0.1 
! Intensity scale =       5889.56694072 
! Calibration file =      feb10/11bmb_4917.calib 
! Calibrated wavelength = 0.412359 
!  
! 2theta, intensity, sigma(intensity)
0.997000 368.926330 28.075343
0.998000 339.756778 26.958690
0.999000 324.094514 26.286675
1.000000 337.555402 26.757605
1.001000 364.496700 27.919492
1.002000 355.455323 27.588909
1.003000 388.303829 28.685604
1.004000 382.099697 28.550512
1.005000 355.130757 27.437886
1.006000 393.418922 28.984421
1.007000 410.673347 29.561175
1.008000 376.730178 28.314087
1.009000 419.168278 29.991224
1.010000 342.055421 26.953664
1.011000 375.095433 28.211331
1.012000 384.659432 28.747899
1.013000 351.510099 27.481225
1.014000 328.429745 26.441625
1.015000 365.586645 27.852850
1.016000 373.809171 28.252022
1.017000 362.826038 27.821299
1.018000 391.434871 28.961909
1.019000 362.146953 27.782270
1.020000 324.428431 26.220234
1.021000 341.356668 27.009134
1.022000 371.560875 28.237163
1.023000 336.729584 26.817327
1.024000 370.791737 28.123893
1.025000 347.221861 27.185684
1.026000 371.768612 28.127859
1.027000 373.247830 28.146158
1.028000 335.586363 26.622793
1.029000 343.645494 27.103291
1.030000 308.258800 25.579381
1.031000 352.417466 27.415081
1.032000 359.744997 27.677455
1.033000 399.652405 29.179331
1.034000 368.074466 27.996264
1.035000 341.537113 26.953920
1.036000 334.261916 26.650532
1.037000 392.516441 28.944223
1.038000 353.068097 27.406544
1.039000 338.347086 26.774503
1.040000 373.533410 28.182637
1.041000 379.148499 28.422576
1.042000 327.824504 26.458327
1.043000 347.752845 27.274834
1.044000 328.453344 26.437603
1.045000 373.636228 28.247996
1.046000 355.264921 27.512157
1.047000 371.759577 28.219185
1.048000 397.077441 29.163002
1.049000 370.748478 28.122418
1.050000 333.687826 26.651011
1.051000 373.670675 28.193940
1.052000 377.483396 28.357769
1.053000 329.190297 26.427510
1.054000 311.783243 25.822768
1.055000 346.870674 27.077481
1.056000 365.248645 27.834370
1.057000 349.800583 27.328529
1.058000 354.119036 27.475802
1.059000 338.136041 26.800456
1.060000 344.307477 27.024952
1.061000 388.960027 28.761727
1.062000 380.794062 28.471891
1.063000 300.483468 25.254926
1.064000 316.452078 25.887695
1.065000 335.968408 26.650208
1.066000 315.487085 25.929575
1.067000 312.512591 25.798499
1.068000 312.738967 25.864404
1.069000 347.048153 27.173451
1.070000 344.523320 27.141108
1.071000 367.859362 28.024197
1.072000 381.360607 28.514470
1.073000 333.576324 26.623361
1.074000 313.255117 25.720096
1.075000 320.351637 26.171825
1.076000 358.311696 27.654007
1.077000 347.236514 27.180597
1.078000 377.119320 28.413431
1.079000 338.145135 26.938578
1.080000 328.818563 26.488293
1.081000 354.205007 27.470809
1.082000 339.881601 26.913717
1.083000 309.811487 25.654401
1.084000 325.243670 26.299515
1.085000 330.760626 26.445553
1.086000 361.862472 27.742358
1.087000 362.961028 27.845477
1.088000 355.328476 27.610124
1.089000 360.035695 27.799819
1.090000 366.360173 27.964038
1.091000 353.067066 27.417098
1.092000 323.831924 26.259330
1.093000 339.878309 26.979325
1.094000 347.234777 27.217486
1.095000 342.554539 27.019809
1.096000 316.121479 25.968773
1.097000 327.146014 26.443163
1.098000 330.118348 26.515326
1.099000 375.522987 28.361643
1.100000 387.894334 28.829948
1.101000 341.808249 26.936108
1.102000 300.151097 25.172106
1.103000 343.084634 27.141209
1.104000 377.315453 28.376039
1.105000 306.089001 25.556138
1.106000 308.777988 25.541103
1.107000 354.386180 27.509763
1.108000 357.816842 27.607534
1.109000 355.198576 27.552806
1.110000 304.347356 25.380519
1.111000 333.671691 26.637028
1.112000 323.059654 26.326733
1.113000 296.839604 25.191053
1.114000 339.045607 26.880681
1.115000 335.124513 26.691671
1.116000 349.125644 27.342799
1.117000 329.499199 26.538421
1.118000 344.279581 27.039318
1.119000 363.903511 27.811526
1.120000 341.137040 26.927158
1.121000 341.211440 26.989749
1.122000 278.485455 24.344926
1.123000 295.898122 25.192393
1.124000 316.299583 26.091771
1.125000 330.518283 26.576622
1.126000 365.472446 27.835441
1.127000 354.455163 27.459131
1.128000 316.027860 25.934537
1.129000 342.946125 27.162953
1.130000 362.724922 27.822964
1.131000 358.158644 27.587065
1.132000 335.497970 26.783855
1.133000 346.232975 27.269708
1.134000 321.869676 26.313022
1.135000 319.121241 26.085168
1.136000 280.017926 24.430644
1.137000 335.635366 26.770115
1.138000 349.723549 27.402040
1.139000 338.002452 26.918732
1.140000 332.291492 26.534087
1.141000 328.783656 26.508497
1.142000 293.612965 25.054351
1.143000 308.725625 25.669120
1.144000 318.451775 26.109370
1.145000 331.810240 26.517087
1.146000 323.157125 26.114973
