XYDATA
! Title: 11BM APS Cr2O3 SRM 674b
INTER 1.0 1.0 2 0.0010
TEMP 295.0
! Fullprof format INSTRM=10 (x, y, sigma)
! File no. =               4716
! No. steps =             34500
! Scan time =             JUN 01, 2014 00:52
! Sample name =     	   NIST SRM 674b (Cr2O3)
! Composition =            Chromium(III) oxide
! Sample Comment =         0.8 mm dia Kapton
! Temp (K) =              295.0
! 2theta step (deg) =     0.001
! Time per step (sec) =   0.1
! 100/Ring Current[0] =   0.984 
! Monitor I0 [0] =        92666.8 
! Monitor I1 [0] =        75642.1 
! Gonio._radius [mm] =    1000.0
! Calibration file =      11bmb_4699_2thcorr.calib
! 2Theta correction subtracted
! Normalization factor  = 8.3664
! Calibrated wavelength = 0.413671
!  
! 2theta, intensity, sigma(intensity)
2.275957 115.674592 14.286965
2.276957 96.240705 13.009641
2.277957 94.472827 12.891342
2.278957 107.619730 13.775602
2.279957 116.947200 14.385290
2.280956 128.946877 15.113968
2.281956 103.254895 13.586823
2.282956 108.723419 13.930154
2.283956 100.780937 13.228566
2.284956 117.578777 14.353901
2.285956 124.689100 14.850209
2.286955 123.798602 14.802760
2.287955 117.061977 14.481783
2.288955 123.074218 14.814227
2.289955 116.264796 14.173176
2.290955 103.352790 13.449960
2.291955 115.144193 14.236581
2.292955 112.664136 14.076700
2.293954 109.128246 13.877435
2.294954 134.636409 15.356894
2.295954 106.985803 13.717122
2.296954 125.177014 14.844448
2.297954 130.112004 15.179917
2.298954 123.940592 14.817034
2.299953 102.933638 13.473508
2.300953 113.323550 14.100780
2.301953 132.821419 15.320580
2.302953 130.569901 15.222241
2.303953 123.686451 14.759664
2.304953 97.454289 13.179030
2.305953 105.653195 13.573382
2.306952 115.023828 14.177584
2.307952 116.986027 14.345871
2.308952 117.655846 14.362957
2.309952 104.623675 13.552469
2.310952 112.789495 13.920886
2.311952 127.862866 14.943944
2.312951 121.028246 14.652340
2.313951 139.028206 15.652276
2.314951 109.331981 13.939445
2.315951 118.581313 14.473763
2.316951 111.957105 14.075072
2.317951 116.656646 14.371394
2.318951 116.674467 14.311310
