XYDATA
! Title: NAC /nov12/11bmb_1804
! Run no. =               1804 
! No. steps =             54000 
! Scan time =             NOV 29, 2012 18:07:11.025644 
! Sample Comment =        NAC 
! User sample name =      1.5 mm diameter 
! Composition =           Na2Ca3Al2F14
! Temp (K) =              298.0 
! Start 2theta (deg) =    -16.0 
! End 2theta (deg) =      38.0 
! 2theta step (deg) =     0.001 
! Time per step (sec) =   0.1 
! Intensity scale =       9383.82768362 
! Calibration file =      11bmb_1800_2thcorrected.calib 
! 2Theta correction subtracted 
! Calibrated wavelength = 0.413909
! Fullprof format INSTRM=10 (x, y, sigma)
INTER 1.0 1.0  2 0.00100
! ---------------------------------------
! degrees       intensity        sigma
0.91595       342.4747        19.2982
0.91695       332.2631        18.9856
0.91795       358.0186        19.7444
0.91895       356.8725        19.6586
0.91995       341.8645        19.2342
0.92095       357.3432        19.6811
0.92195       349.3145        19.4853
0.92295       308.8366        18.2594
0.92395       345.7710        19.3699
0.92495       336.0532        19.0630
0.92594       334.7725        19.0768
0.92694       318.3719        18.6017
0.92794       370.3803        20.0503
0.92894       319.3090        18.5104
0.92994       327.8331        18.8406
0.93094       336.5074        19.1934
0.93194       367.8351        20.0969
0.93294       336.9945        19.1750
0.93394       361.0787        19.7965
0.93494       326.0772        18.8094
0.93594       342.2961        19.3559
0.93694       346.6866        19.3966
0.93794       383.2831        20.4496
0.93894       328.6252        18.8413
0.93994       322.3948        18.6530
0.94094       356.4723        19.6700
0.94194       329.8946        18.8153
0.94294       348.7900        19.4612
0.94394       316.1511        18.6190
0.94494       295.2731        17.9181
0.94594       334.8147        19.0225
0.94694       329.6736        18.9388
0.94794       312.8504        18.4235
0.94894       347.0283        19.4197
0.94994       311.8597        18.3976
0.95094       323.6030        18.7533
0.95194       316.0816        18.5697
0.95294       318.2362        18.5160
0.95394       327.6705        18.8362
0.95494       332.8150        18.9808
0.95594       343.5927        19.3344
0.95694       331.4166        19.0228
0.95794       327.3002        18.8518
0.95894       326.9677        18.8676
0.95994       340.3754        19.2488
0.96094       315.9742        18.4954
0.96194       323.2214        18.7122
0.96294       340.0702        19.1956
0.96394       345.0108        19.3325
0.96494       334.4765        19.0370
0.96594       357.9726        19.7632
0.96694       337.8530        19.2016
0.96794       329.2534        18.9598
0.96894       342.5187        19.3071
0.96994       328.5038        18.9112
0.97094       324.0593        18.8121
0.97194       334.7839        19.0358
0.97294       342.5882        19.2128
0.97394       352.8549        19.5345
0.97494       332.1089        18.9245
0.97594       315.5990        18.5577
0.97694       309.8635        18.2708
0.97794       340.8562        19.2204
0.97894       338.0611        19.1195
0.97994       330.0713        18.8533
0.98094       341.6242        19.2909
0.98194       343.8094        19.2993
0.98294       322.1219        18.6674
0.98394       334.8047        19.0621
0.98494       338.0482        19.2099
0.98594       328.5572        18.9291
0.98694       351.9616        19.5550
0.98794       312.1922        18.3275
0.98894       346.6200        19.3872
0.98994       336.5052        19.1371
0.99094       298.6659        17.9227
0.99194       312.2129        18.3476
0.99294       333.0071        18.9800
0.99394       320.0700        18.5912
0.99494       311.6460        18.4267
0.99594       305.9788        18.2765
0.99694       326.9368        18.8933
0.99794       310.1955        18.3769
0.99894       304.2500        18.1901
0.99994       285.3190        17.4850
1.00094       312.3723        18.4815
1.00194       313.7896        18.5044
1.00293       327.4145        18.9406
1.00393       324.3713        18.8331
1.00493       326.2352        18.7792
1.00593       311.0650        18.3468
1.00693       326.7381        18.7347
1.00793       321.2834        18.7208
1.00893       306.4493        18.2997
1.00993       338.6112        19.2017
1.01093       310.6914        18.3385
1.01193       313.4005        18.4619
1.01293       289.4375        17.6928
1.01393       295.5889        17.8416
