XYDATA
! Title: 11-BM data for Al2O3 SRM 676a
INTER 1.0 1.0 2 0.0010
TEMP 295.0
! Fullprof format INSTRM=10 (x, y, sigma)
! File no. =               4714 
! No. steps =             34500 
! Scan time =             MAY 31, 2014 22:53 
! Sample name =     	  NIST SRM 676a (Al2O3) 
! Composition =           Aluminium Oxide (Al2O3)
! Sample Comment =        0.8 mm dia Kapton
! Temp (K) =              295.6 
! 2theta step (deg) =     0.001 
! Time per step (sec) =   0.1 
! 100/Ring Current[0] =   0.983  
! Monitor I0 [0] =        92715.5  
! Monitor I1 [0] =        75723.2  
! Gonio._radius [mm] =    1000.0 
! Calibration file =      11bmb_4699_2thcorr.calib 
! 2Theta correction subtracted 
! Normalization factor  = 8.3433 
! Calibrated wavelength = 0.413671 
!  
! 2theta, intensity, sigma(intensity)
2.284956 112.283623 14.054604
2.285956 132.812264 15.302218
2.286955 125.671787 14.781468
2.287955 121.966431 14.553585
2.288955 137.756509 15.491168
2.289955 120.159782 14.482777
2.290955 120.689038 14.567305
2.291955 143.589795 15.812243
2.292955 113.624239 14.065584
2.293954 126.092155 14.917238
2.294954 137.523260 15.567841
2.295954 138.110668 15.641318
2.296954 139.813863 15.697855
2.297954 133.608618 15.311012
2.298954 144.880149 15.903909
2.299953 131.458919 15.229233
2.300953 136.588967 15.536136
2.301953 140.622989 15.821221
2.302953 143.224431 15.933541
2.303953 119.416112 14.481899
2.304953 113.042747 14.061569
2.305953 113.557981 14.060213
2.306952 130.517242 15.173578
2.307952 139.618974 15.752000
2.308952 134.836229 15.484992
2.309952 122.636129 14.614934
2.310952 121.849587 14.569241
2.311952 114.713227 14.237865
2.312951 127.724313 14.946726
2.313951 117.710809 14.296583
2.314951 120.268068 14.456703
2.315951 108.719946 13.791919
2.316951 134.217831 15.375273
2.317951 135.171648 15.366128
2.318951 119.439924 14.433004
2.319950 128.897888 15.033943
2.320950 138.244340 15.579929
2.321950 132.140466 15.234497
2.322950 114.399624 14.214975
2.323950 110.134688 13.954565
2.324950 113.112319 14.061745
2.325949 123.887741 14.749882
2.326949 124.495418 14.816821
2.327949 130.009763 15.131479
2.328949 136.692194 15.466460
2.329949 151.407302 16.233729
2.330949 128.477425 14.971040
2.331949 152.579492 16.340339
2.332948 133.925566 15.275238
2.333948 123.965609 14.640639
2.334948 137.762959 15.452121
2.335948 120.904000 14.432505
2.336948 122.129583 14.679800
2.337948 118.525983 14.430150
2.338947 122.891608 14.739290
2.339947 155.341165 16.503495
2.340947 110.062470 13.906639
2.341947 107.570010 13.710632
2.342947 113.865568 14.110982
2.343947 114.896714 14.193604
2.344946 143.276116 15.942970
2.345946 141.098511 15.815731
2.346946 130.454076 15.212713
2.347946 115.345143 14.163594
2.348946 132.834524 15.196764
2.349946 124.318268 14.734078
2.350946 123.956465 14.649036
2.351945 127.270824 15.023034
2.352945 113.673687 14.105543
2.353945 121.156651 14.556893
2.354945 125.875669 14.817273
2.355945 126.413841 14.912291
2.356945 106.660405 13.787363
2.357944 143.564538 15.845728
2.358944 137.146942 15.458854
2.359944 109.332104 13.909169
2.360944 106.448778 13.671337
2.361944 123.158406 14.650808
2.362944 116.150321 14.326571
2.363944 129.065288 14.960742
2.364943 106.160937 13.608854
2.365943 126.240498 14.845216
2.366943 129.053821 15.021883
2.367943 128.255481 14.967270
2.368943 151.203299 16.323850
2.369943 123.055136 14.735887
2.370942 126.742061 14.976110
2.371942 143.852989 15.970107
2.372942 141.570124 15.743530
2.373942 122.217922 14.619535
2.374942 131.956658 15.265330
2.375942 137.288556 15.549008
2.376942 133.623290 15.269429
2.377941 96.001244 12.872692
2.378941 113.544532 14.194444
2.379941 102.191762 13.474575
2.380941 115.606700 14.293699
2.381941 140.718307 15.668477
